一	一ＹＩ一
谨	讠廿Ｊ
荷	艹亻可Ｈ
跨	大<亏下>Ｋ
浴	氵八<谷下>Ｙ
舱	舟人Ｃ
颠	十八页Ｄ
趟	走冂Ｔ
盒	亼口皿Ｈ
撇	扌丷攵Ｐ
骄	马丿<齐下>Ｊ
逊	子小辶Ｘ
坑	土亠几Ｋ
柜	木匚<右框>Ｇ
摧	扌山隹Ｃ
崔	山隹ＣＩ
幼	幺力ＹＵ
愁	禾火心Ｃ
仑	人匕ＬＮ
姨	女大弓Ｙ
踩	爫木Ｃ
谅	讠<享上>小Ｌ
坤	土日丨Ｋ
绑	纟<丰变>阝Ｂ
锤	钅千<垂下>Ｃ
哑	口亚ＹＡ
贾	覀贝ＪＡ
宰	宀辛ＺＩ
乳	爫子乚Ｒ
陌	阝丆日Ｍ
惠	士日心Ｈ
竖	<临左>又立Ｓ
销	钅冃Ｘ
叮	口丁ＤＧ
访	讠方ＦＧ
虹	虫工ＨＧ
绽	纟宀<足下>Ｚ
沾	氵占ＺＮ
添	氵一Ｔ
沃	氵丿大Ｗ
挽	扌<见下>Ｗ
迦	加辶ＪＡ
舟	舟ＺＵ丿
堵	土者ＤＵ
鹿	<鹿上>比ＬＵ
纱	纟少ＳＡ
巾	巾ＪＮ丨
荆	艹开刂Ｊ
薛	艹<阜上>辛Ｘ
绩	纟贝Ｊ
捂	扌五口Ｗ
枯	木古ＫＵ
腐	广亻内Ｆ
兔	兔ＴＵ丿
凛	冫亠示Ｌ
夷	大弓ＹＩ
梵	林几丶Ｆ
哗	口<化右>十Ｈ
绳	纟口乚Ｓ
靖	立月Ｊ
搏	扌甫寸Ｂ
斌	文一弋Ｂ
颈	<经角>工页Ｇ
筹	<丰变>寸Ｃ
逝	扌斤辶Ｓ
厨	厂一寸Ｃ
辅	<车旁>甫ＦＵ
逗	一口辶Ｄ
藤	艹月氺Ｔ
盼	目八刀Ｐ
咦	口大弓Ｙ
尹	<秉中>丿ＹＮ
呃	口厂Ｅ
芬	艹八刀Ｆ
狸	犭里ＬＩ
矩	矢匚<右框>Ｊ
憾	忄戊心Ｈ
膝	月木氺Ｘ
雁	厂亻隹Ｙ
胳	月各ＧＥ
咧	口歹刂Ｌ
沌	氵七凵Ｄ
於	方人<冬下>Ｙ
墓	莫土ＭＵ
畅	日丨<乃上>Ｃ
擅	扌亠一Ｓ
冻	冫<东上>小Ｄ
摊	扌又隹Ｔ
黯	黑音ＡＮ
泣	氵立ＱＩ
楞	木罒方Ｌ
叉	又丶ＣＡ
籍	耒日Ｊ
牺	牜西ＸＩ
敖	敖ＡＯ一
哄	口八Ｈ
铭	钅夕口Ｍ
霉	<雨头>母Ｍ
躬	身弓ＧＧ
淋	氵林ＬＮ
膊	月甫寸Ｂ
嫌	女<首上><兼末>Ｘ
歇	日乚欠Ｘ
捧	扌<举下>Ｐ
痒	疒羊ＹＧ
塌	土日羽Ｔ
嚷	口亠<衣下>Ｒ
涵	氵乛凵Ｈ
旨	匕日ＺＩ
灿	火山ＣＮ
摄	扌耳又Ｓ
削	冃刂Ｘ
茵	艹囗大Ｙ
嘟	口者阝Ｄ
匕	匕ＢＩ丿
膛	月土Ｔ
拱	扌八Ｇ
肢	月十又Ｚ
眠	目巳七Ｍ
珑	王龙ＬＧ
伪	亻<冬下>力Ｗ
斤	斤ＪＮ丿
逛	犭王辶Ｇ
惶	忄白王Ｈ
励	厂丆力Ｌ
儒	亻<雨头><而下>Ｒ
陡	阝走ＤＵ
仲	亻中ＺＧ
瞄	目艹田Ｍ
哨	口冃Ｓ
羡	冫欠Ｘ
掀	扌斤欠Ｘ
辽	乛亅辶Ｌ
沟	氵勹厶Ｇ
墅	里土Ｓ
汽	氵气ＱＩ
档	木彐Ｄ
隶	彐水ＬＩ
描	扌艹田Ｍ
俘	亻爫子Ｆ
蜂	虫夂丰Ｆ
呐	口内ＮＡ
哲	扌斤口Ｚ
卒	亠从十Ｚ
赔	贝立口Ｐ
裙	衤<秉中>口Ｑ
哮	口耂子Ｘ
寿	<丰变>寸ＳＵ
攀	木木手Ｐ
杆	木干ＧＮ
旺	日王ＷＧ
寇	宀元<卓上>Ｋ
吾	五口ＷＵ
篮	<临左>皿Ｌ
狄	犭火ＤＩ
储	亻讠者Ｃ
鉴	<临左><半竹>金Ｊ
嘀	口<商外>古Ｄ
虏	虍力ＬＵ
嚎	口<亮上>豕Ｈ
赋	贝一弋Ｆ
隙	阝小小Ｘ
炉	火户ＬＵ
呻	口日丨Ｓ
殷	彐殳Ｙ
污	氵二<亏下>Ｗ
辩	<辛变>讠辛Ｂ
篇	户冊Ｐ
嗓	口又木Ｓ
吊	口巾ＤＯ
播	扌丿田Ｂ
颊	夫丷页Ｊ
偿	亻云Ｃ
冤	冖兔ＹＮ
耿	耳火ＧＧ
俯	亻广寸Ｆ
俄	亻手戈Ｅ
躁	口木Ｚ
狞	犭宀丁Ｎ
嗔	口十八Ｃ
廖	广羽彡Ｌ
罕	干ＨＮ
狡	犭亠父Ｊ
溅	氵贝戈Ｊ
蹲	酋寸Ｄ
焕	火大Ｈ
缕	纟米女Ｌ
嘎	口丆戈Ｇ
烤	火耂丂Ｋ
渴	氵日勹Ｋ
篷	夂辶Ｐ
乏	丿之ＦＡ
擒	扌人冂Ｑ
棠	口木Ｔ
粒	米立ＬＩ
祺	礻其ＱＩ
惩	彳一心Ｃ
患	口口心Ｈ
谦	讠<首上><兼末>Ｑ
汪	氵王ＷＧ
押	扌甲ＹＡ
辨	<辛变><班中>辛Ｂ
蛛	虫朱ＺＵ
歹	歹ＤＩ一
蕴	艹纟皿Ｙ
沸	氵弓<齐下>Ｆ
遣	<贵上><官下>辶Ｑ
陶	阝勹缶Ｔ
迁	千辶ＱＮ
版	片又Ｂ
咆	口勹巳Ｐ
彷	彳方ＰＧ
囊	十口<衣下>Ｎ
劣	少力ＬＥ
芝	艹之ＺＩ
潇	氵艹<肃下>Ｘ
鳞	鱼米<舛右>Ｌ
甫	甫ＦＵ一
逢	夂丰辶Ｆ
玫	王攵ＭＩ
狈	犭贝ＢＩ
邓	又阝ＤＧ
侦	亻<卓上>贝Ｚ
炽	火口八Ｃ
竭	立日勹Ｊ
讽	讠风ＦＧ
挠	扌<尧上>儿Ｎ
拓	扌石ＴＯ
戮	羽彡戈Ｌ
订	讠丁ＤＧ
苟	艹勹口Ｇ
娶	耳又女Ｑ
蔡	艹<祭上>示Ｃ
丸	九丶ＷＮ
佐	亻工Ｚ
宅	宀丿七Ｚ
厢	厂相ＸＧ
驳	马乂乂Ｂ
拐	扌另ＧＩ
昭	日刀口Ｚ
弦	弓玄ＸＮ
淑	氵<卓上>又Ｓ
叠	又又且Ｄ
俞	亼<前下>ＹＵ
辜	古辛ＧＵ
兼	<首上><秉中><兼末>Ｊ
吱	口十又Ｚ
腻	月弋二Ｎ
础	石凵山Ｃ
兮	八丂ＸＩ
琉	王<充上><流角>Ｌ
蓬	艹夂辶Ｐ
厮	厂其斤Ｓ
坡	土皮ＰＯ
咪	口米ＭＩ
朴	木卜ＰＵ
妍	女开ＹＮ
胎	月厶口Ｔ
刮	舌刂ＧＡ
苗	艹田ＭＯ
廊	广丶阝Ｌ
遵	酋寸辶Ｚ
蜀	罒勹虫Ｓ
倭	亻禾女Ｗ
浸	氵彐又Ｊ
滞	氵<带上>巾Ｚ
梭	木厶夂Ｓ
湾	氵<变上>弓Ｗ
韦	二<韦下>ＷＩ
玻	王皮ＢＯ
禀	亠囗示Ｂ
茹	艹女口Ｒ
敛	亼<应下>攵Ｌ
澜	氵门木Ｌ
聂	耳又又Ｎ
疏	乛止<流角>Ｓ
瞎	目宀口Ｘ
豆	一口<首上>Ｄ
溢	氵<首上>皿Ｙ
犬	大丶ＱＮ
廉	广<首上><兼末>Ｌ
潘	氵丿田Ｐ
嗦	口十小Ｓ
祈	礻斤ＱＩ
灼	火勹丶Ｚ
瞥	丷攵目Ｐ
斑	王文王Ｂ
顽	元页ＷＮ
兹	<首上>幺幺Ｚ
糕	米灬Ｇ
昊	日一大Ｈ
锅	钅口内Ｇ
缚	纟甫寸Ｆ
妞	女丑ＮＵ
匠	匚斤ＪＧ
魁	白<见下>斗Ｋ
鹤	冖隹鸟Ｈ
绯	纟非ＦＩ
谎	讠艹<流角>Ｈ
榜	木<旁上>方Ｂ
碌	石<录上>水Ｌ
拂	扌弓<齐下>Ｆ
壶	士冖业Ｈ
昧	日未ＭＩ
遁	十辶Ｄ
蔽	艹巾攵Ｂ
庙	广由ＭＯ
蹄	<旁上>巾Ｔ
茜	艹西ＸＩ
腔	月穴工Ｑ
堕	阝土Ｄ
耽	耳<巾变>乚Ｄ
硕	石页ＳＯ
壳	士冖几Ｋ
彪	虍几彡Ｂ
肠	月<乃上><两撇>Ｃ
钰	钅王丶Ｙ
岭	山今丶Ｌ
嗡	口八羽Ｗ
栋	木<东上>小Ｄ
葬	艹歹廾Ｚ
冉	冂土ＲＮ
挪	扌<那左>阝Ｎ
鞋	革圭ＸＥ
蹦	山月Ｂ
柴	止匕木Ｃ
蔓	艹日又Ｍ
陀	阝宀匕Ｔ
姊	女丿<亏下>Ｚ
啧	口贝Ｚ
妨	女方ＦＧ
窃	穴七刀Ｑ
阎	门臼Ｙ
盆	八刀皿Ｐ
焚	林火ＦＮ
矢	矢ＳＩ丿
携	扌隹乃Ｘ
钉	钅丁ＤＧ
帘	穴巾ＬＮ
俺	亻大乚Ａ
嗤	口屮虫Ｃ
萝	艹罒夕Ｌ
沧	氵人Ｃ
循	彳目Ｘ
搅	扌<学上>见Ｊ
渺	氵目少Ｍ
兀	一儿ＷＵ
狭	犭夫丷Ｘ
戟	十十戈Ｊ
申	日丨ＳＮ
翘	<尧上>儿羽Ｑ
嘱	口尸冂Ｚ
拆	扌斤丶Ｃ
津	氵<秉中><举下>Ｊ
贱	贝一戈Ｊ
汝	氵女ＲＵ
暇	日<右框>又Ｘ
愉	忄亼<前下>Ｙ
侄	亻至ＺＩ
棵	木日木Ｋ
谭	讠覀十Ｔ
轨	<车旁>九ＧＩ
蚁	虫丶乂Ｙ
啥	口亼古Ｓ
媒	女廿木Ｍ
噗	口业丶Ｐ
锻	钅<段左>殳Ｄ
赴	走卜ＦＵ
诈	讠乍ＺＡ
巢	巛日木Ｃ
捡	扌亼<应下>Ｊ
哟	口纟勹Ｙ
衷	亠中<衣下>Ｚ
吁	口于ＹＵ
彦	立丿彡Ｙ
渗	氵厶彡Ｓ
峡	山夫丷Ｘ
涡	氵口内Ｗ
禅	礻丷十Ｃ
氓	亡巳七Ｍ
浆	丬夕水Ｊ
租	禾且ＺＵ
阅	门丷口Ｙ
掐	扌臼Ｑ
帽	巾<冒上>目Ｍ
揭	扌日勹Ｊ
妒	女户ＤＵ
毙	比歹匕Ｂ
寞	宀莫ＭＯ
孝	耂子ＸＯ
乙	乙ＹＩ乛
贸	<卬左>刀贝Ｍ
革	革ＧＥ一
喔	口尸至Ｗ
憋	丷攵心Ｂ
蓄	艹玄田Ｘ
坎	土欠ＫＮ
舅	臼田力Ｊ
絮	女口小Ｘ
烛	火虫ＺＵ
歆	音欠ＸＮ
胞	月勹巳Ｂ
翰	十十羽Ｈ
颖	匕禾页Ｙ
彤	<周框>亠彡Ｔ
唔	口五口Ｗ
垃	土立ＬＡ
圾	土及ＪＩ
尧	<尧上>一儿Ｙ
旭	九日ＸＵ
寄	宀大可Ｊ
喀	口宀各Ｋ
遂	<首上>豕辶Ｓ
阱	阝井ＪＧ
泊	氵白ＢＯ
妾	立女ＱＥ
瑰	王白<见下>Ｇ
虐	虍<虐下>ＮＥ
潭	氵覀十Ｔ
祀	礻巳ＳＩ
逻	罒夕辶Ｌ
璇	王<旗角><足下>Ｘ
税	禾丷儿Ｓ
嫂	女叟ＳＯ
填	土十八Ｔ
蛟	虫亠父Ｊ
怯	忄土厶Ｑ
滔	氵爫臼Ｔ
弧	弓瓜ＨＵ
惫	夂田心Ｂ
煌	火白王Ｈ
雍	亠丿隹Ｙ
衍	彳氵亍Ｙ
笛	由ＤＩ
庸	广<秉中>冃Ｙ
兆	<兆左><兆右>ＺＯ
咚	口夂<冬下>Ｄ
暮	莫日ＭＵ
卜	卜ＢＵ丨
裳	口<衣下>Ｓ
沫	氵末ＭＯ
蝎	虫日勹Ｘ
寡	宀丆刀Ｇ
蚀	饣虫ＳＩ
枉	木王ＷＧ
粹	米亠十Ｃ
澡	氵口木Ｚ
昔	日ＸＩ
摘	扌<商外>古Ｚ
瀚	氵人羽Ｈ
寝	宀丬又Ｑ
熙	匚巳灬Ｘ
舜	<爱上>夕<舛右>Ｓ
售	隹口ＳＵ
栽	十戈木Ｚ
胧	月龙ＬＧ
贞	<卓上>贝ＺＮ
诅	讠且ＺＵ
滩	氵又隹Ｔ
韧	二<韦下>刀Ｒ
倚	亻大可Ｙ
睹	目者ＤＵ
栈	木一戈Ｚ
蝠	虫畐ＦＵ
桶	木<甬下>Ｔ
卦	圭卜ＧＡ
臀	尸殳冃Ｔ
狰	犭亅Ｚ
姚	女<兆左><兆右>Ｙ
雇	户隹ＧＵ
署	罒者ＳＵ
狙	犭且ＪＵ
泼	氵发ＰＯ
诛	讠朱ＺＵ
朦	月艹<豕下>Ｍ
栏	木<首上>二Ｌ
筒	冂一Ｔ
哧	口土<赤下>Ｃ
溪	氵爫大Ｘ
册	册ＣＥ丿
窥	穴夫见Ｋ
湘	氵相ＸＧ
犀	尸氺牛Ｘ
舔	舌一Ｔ
剥	<录上>水刂Ｂ
磁	石<首上>幺Ｃ
惕	忄日勹Ｔ
旷	日广ＫＧ
佑	亻口Ｙ
歼	歹千ＪＮ
兜	<卬左><右框>儿Ｄ
窟	穴尸山Ｋ
枕	木<巾变>乚Ｚ
囚	囗人ＱＵ
裴	非亠<衣下>Ｐ
胀	月长ＺＧ
楠	木<南上><首上>Ｎ
觑	虍业见Ｑ
擂	扌<雨头>田Ｌ
拽	扌日乚Ｚ
捣	扌<鸟上>山Ｄ
蕊	艹心心Ｒ
巷	八巳Ｘ
乞	乙ＱＩ
谱	讠<首上>日Ｐ
蚩	屮一虫Ｃ
哩	口里ＬＩ
琢	王豕丶Ｚ
垒	厶厶土Ｌ
胃	田冃ＷＩ
虞	虍口大Ｙ
绣	纟禾乃Ｘ
衰	亠口<衣下>Ｓ
扁	户冊ＢＮ
菩	艹立口Ｐ
颅	<卓上>尸页Ｌ
骆	马各ＬＯ
抄	扌少ＣＯ
菁	艹月Ｊ
纽	纟丑ＮＵ
贡	工贝ＧＧ
噢	口<向框>大Ｏ
桓	木一一Ｈ
绮	纟大可Ｑ
戚	戊<卓上>一Ｑ
惟	忄隹ＷＩ
慑	忄耳又Ｓ
罡	罒一止Ｇ
喧	口宀一Ｘ
衙	彳五亍Ｙ
瑜	王亼<前下>Ｙ
岗	山冂乂Ｇ
侃	亻口<流角>Ｋ
祷	礻<丰变>寸Ｄ
萍	<艹氵>干丷Ｐ
剂	文<齐下>刂Ｊ
莽	艹大廾Ｍ
诞	讠丿廴Ｄ
轴	<车旁>由ＺＵ
嘘	口虍业Ｘ
烫	氵<乃上>火Ｔ
咙	口龙ＬＧ
鞘	革冃Ｑ
丞	乛水一Ｃ
剿	巛木刂Ｊ
孽	艹<阜上>子Ｎ
淘	氵勹缶Ｔ
翎	今丶羽Ｌ
翁	八厶羽Ｗ
恕	女口心Ｓ
衬	衤寸ＣＮ
倦	亻Ｊ
揽	扌<半竹>见Ｌ
疚	疒丶Ｊ
轿	<车旁>丿<齐下>Ｊ
秃	禾几ＴＵ
猾	犭骨ＨＡ
钦	钅欠ＱＮ
嗜	口耂日Ｓ
掷	扌丷阝Ｚ
藉	艹耒日Ｊ
鸦	一<牙下>鸟Ｙ
陨	阝口贝Ｙ
熬	敖灬ＡＯ
窍	穴工丂Ｑ
郝	土<赤下>阝Ｈ
芷	艹止ＺＩ
咖	口加ＫＡ
勋	口贝力Ｘ
铸	钅<丰变>寸Ｚ
叨	口刀ＤＯ
乍	乍ＺＡ丿
磕	石土皿Ｋ
扳	扌又Ｂ
霎	<雨头>立女Ｓ
姥	女耂匕Ｌ
棺	木宀<官下>Ｇ
奢	大者ＳＥ
辟	尸口辛Ｂ
叙	亼朩又Ｘ
畜	玄田ＸＵ
嫉	女疒矢Ｊ
蜘	虫矢口Ｚ
搁	扌门各Ｇ
钥	钅月ＹＥ
陋	阝一乚Ｌ
茅	艹<矛下>Ｍ
倏	亻夂大Ｓ
瘫	疒又隹Ｔ
菊	艹勹米Ｊ
匙	日<足下>匕Ｃ
翩	户冊羽Ｐ
倘	亻冂Ｔ
擎	艹攵手Ｑ
趋	走彐Ｑ
窄	穴乍ＺＩ
峻	山厶夂Ｊ
啡	口非ＦＩ
嗽	口木欠Ｓ
醋	酉日Ｃ
酥	酉禾ＳＵ
伺	亻一Ｓ
恳	艮心ＫＮ
粘	米占ＮＮ
哆	口夕夕Ｄ
绞	纟亠父Ｊ
绷	纟月月Ｂ
丐	一<卓上><亏下>Ｇ
渠	氵匚木Ｑ
娱	女口大Ｙ
佘	人示ＳＥ
淌	氵冂Ｔ
履	尸彳夂Ｌ
塑	<首上>月土Ｓ
症	疒一止Ｚ
衔	彳钅亍Ｘ
蔑	艹罒戊Ｍ
禽	人文冂Ｑ
傀	亻白<见下>Ｋ
蛊	虫皿ＧＵ
炀	火<乃上><两撇>Ｙ
捞	扌艹力Ｌ
蒸	艹乛灬Ｚ
缄	纟戊一Ｊ
嗖	口叟ＳＵ
炫	火玄ＸＮ
眩	目玄ＸＮ
歧	止十又Ｑ
邱	丘阝ＱＵ
挟	扌夫丷Ｘ
帆	巾几丶Ｆ
莺	艹冖鸟Ｙ
渔	氵鱼ＹＵ
敞	冂攵Ｃ
绰	纟<卓上>十Ｃ
淳	氵<享上>子Ｃ
厥	厂丷欠Ｊ
瞟	目覀示Ｐ
霹	<雨头>尸辛Ｐ
疤	疒巴ＢＡ
柏	木白ＢＩ
徽	<微框>幺小Ｈ
讪	讠山ＳＮ
猿	犭土<衣下>Ｙ
沮	氵且ＪＵ
眶	目匚王Ｋ
页	页ＹＥ一
卸	止卩Ｘ
宵	宀冃Ｘ
惭	忄<车旁>斤Ｃ
菱	艹土夂Ｌ
踹	山<而下>Ｃ
肿	月中ＺＧ
萱	艹宀一Ｘ
斐	非文ＦＩ
钩	钅勹厶Ｇ
瓷	冫欠瓦Ｃ
雳	<雨头>厂力Ｌ
茂	艹戊ＭＯ
肺	月一巾Ｆ
届	尸由ＪＥ
鹫	<享上>丶鸟Ｊ
碑	石卑ＢＩ
儡	亻田田Ｌ
蝉	虫丷十Ｃ
夭	丿大ＹＯ
娟	女口冃Ｊ
曰	曰ＹＥ丨
淮	氵隹ＨＩ
拘	扌勹口Ｊ
搓	扌工Ｃ
捅	扌<甬下>Ｔ
豁	宀口<谷下>Ｈ
亨	<享上>乛亅Ｈ
荐	艹<在角>子Ｊ
漩	氵<旗角><足下>Ｘ
捆	扌囗木Ｋ
沼	氵刀口Ｚ
迭	失辶ＤＥ
侮	亻母Ｗ
叱	口<化右>ＣＩ
槐	木白<见下>Ｈ
迸	丷开辶Ｂ
扛	扌工ＫＧ
屡	尸米女Ｌ
鲍	鱼勹巳Ｂ
脊	<脊左><脊右>月Ｊ
忖	忄寸ＣＮ
婢	女卑ＢＩ
栗	覀木ＬＩ
驼	马宀匕Ｔ
贩	贝又Ｆ
芦	艹户ＬＵ
拎	扌今丶Ｌ
彬	林彡ＢＮ
姗	女册ＳＮ
淹	氵大乚Ｙ
怠	厶口心Ｄ
钧	钅勹冫Ｊ
嗅	口自大Ｘ
樊	木木大Ｆ
弛	弓也ＣＩ
霓	<雨头>臼儿Ｎ
揍	扌大Ｚ
喽	口米女Ｌ
汁	氵十ＺＩ
惮	忄丷十Ｄ
邻	今丶阝Ｌ
蟒	虫艹廾Ｍ
衅	丿皿半Ｘ
瘾	疒阝心Ｙ
账	贝长ＺＧ
览	<临左><半竹>见Ｌ
妩	女<干变>乚Ｗ
厦	厂丆夂Ｘ
妆	丬女ＺＧ
芊	艹千ＱＮ
抿	扌巳七Ｍ
喻	口亼<前下>Ｙ
吏	丈口ＬＩ
澈	氵<充上>攵Ｃ
砖	石二<专下>Ｚ
僻	亻尸辛Ｐ
倪	亻臼儿Ｎ
挫	扌从土Ｃ
杏	木口ＸＧ
襄	亠吅<衣下>Ｘ
桐	木冂一Ｔ
矣	厶矢ＹＩ
噩	王吅吅Ｅ
揪	扌禾火Ｊ
拧	扌宀丁Ｎ
燥	火口木Ｚ
郊	亠父阝Ｊ
喇	口木刂Ｌ
沦	氵人匕Ｌ
蚂	虫马ＭＡ
阮	阝元ＲＮ
帖	巾占ＴＥ
戬	亚日戈Ｊ
铲	钅立丿Ｃ
孕	乃子ＹＮ
跺	几木Ｄ
巅	山八页Ｄ
敦	<享上>子攵Ｄ
婪	林女ＬＮ
蹈	爫臼Ｄ
蹭	丷日Ｃ
株	木朱ＺＵ
凹	凹ＡＯ丨
婿	女乛冃Ｘ
嬉	女吉口Ｘ
盐	土卜皿Ｙ
冀	<北左>匕八Ｊ
膜	月莫ＭＯ
剪	<首上><前下>刀Ｊ
鞠	革勹米Ｊ
桂	木圭ＧＩ
盏	一戈皿Ｚ
襟	衤林示Ｊ
逞	口王辶Ｃ
棘	木冂木Ｊ
焉	一<亏下>灬Ｙ
跋	犮ＢＡ
呕	口匚乂Ｏ
稚	禾隹ＺＩ
嵌	山廿欠Ｑ
熠	火羽白Ｙ
颓	禾几页Ｔ
妓	女十又Ｊ
穹	穴弓ＱＧ
邵	刀口阝Ｓ
涣	氵大Ｈ
债	亻贝Ｚ
梧	木五口Ｗ
勿	勹<两撇>ＷＵ
墟	土虍业Ｘ
焱	火火火Ｙ
桩	木广土Ｚ
脯	月甫ＦＵ
镶	钅亠<衣下>Ｘ
拭	扌弋工Ｓ
忿	八刀心Ｆ
撩	扌大小Ｌ
涟	氵车辶Ｌ
谍	讠世木Ｄ
拇	扌母ＭＵ
瑾	王廿Ｊ
疫	疒殳ＹＩ
掘	扌尸山Ｊ
梨	禾刂木Ｌ
窒	穴至ＺＩ
朽	木丂ＸＵ
奕	亠<赤下>大Ｙ
涅	氵日土Ｎ
顷	<比左>页ＱＧ
咋	口乍ＺＡ
酬	酉州ＣＵ
琦	王大可Ｑ
蝙	虫户冊Ｂ
吭	口亠几Ｋ
僚	亻大小Ｌ
镰	钅广<兼末>Ｌ
砚	石见ＹＮ
瞅	目禾火Ｃ
饥	饣几ＪＩ
邸	<卬左>七阝Ｄ
漾	氵<永下>Ｙ
婕	女一<足下>Ｊ
胤	儿幺月Ｙ
呸	口不一Ｐ
译	讠又<举下>Ｙ
峙	山土寸Ｚ
寥	宀羽彡Ｌ
凸	凸ＴＵ丨
垫	执土ＤＮ
肋	月力ＬＩ
噜	口鱼日Ｌ
漓	氵文冂Ｌ
剔	日<两撇>刂Ｔ
猩	犭日Ｘ
梳	木<充上><流角>Ｓ
峨	山手戈Ｅ
熄	火自心Ｘ
睿	<卓上>冖目Ｒ
禹	丿虫冂Ｙ
址	土止ＺＩ
蝴	虫古月Ｈ
萌	艹日月Ｍ
瞻	目言Ｚ
眷	目ＪＮ
蹬	癶<首上>Ｄ
绘	纟人云Ｈ
龚	龙八Ｇ
岔	八刀山Ｃ
唬	口虍几Ｈ
飙	大大风Ｂ
驭	马又ＹＵ
漪	氵大可Ｙ
侥	亻<尧上>儿Ｊ
肘	月寸ＺＵ
侣	亻口口Ｌ
熏	千黑ＸＮ
螺	虫田小Ｌ
聘	耳由丂Ｐ
唾	口千<垂下>Ｔ
幢	巾立里Ｃ
揣	扌山<而下>Ｃ
坊	土方ＦＧ
湛	氵其乚Ｚ
谊	讠宀且Ｙ
箫	<秉中><肃下>Ｘ
沛	氵一巾Ｐ
垮	土大<亏下>Ｋ
妲	女日一Ｄ
鹃	口冃鸟Ｊ
翡	非羽ＦＩ
琐	王贝Ｓ
髓	骨辶Ｓ
讥	讠几ＪＩ
裕	衤八<谷下>Ｙ
薪	艹立斤Ｘ
毯	毛火火Ｔ
骸	骨亥ＨＩ
癸	癶一大Ｇ
苹	艹干丷Ｐ
匿	匚艹Ｎ
脂	月匕日Ｚ
玑	王几ＪＩ
澎	氵吉彡Ｐ
枢	木匚乂Ｓ
懈	忄刀牛Ｘ
宪	宀儿Ｘ
搀	扌<冬下>Ｃ
皓	白口Ｈ
悸	忄禾子Ｊ
嗷	口敖ＡＯ
跄	人Ｑ
镯	钅罒勹Ｚ
膨	月吉彡Ｐ
憨	乛攵心Ｈ
瓣	<辛变>瓜辛Ｂ
泻	氵冖<亏下>Ｘ
踉	丶艮Ｌ
黝	黑幺力Ｙ
葫	艹古月Ｈ
渣	氵木一Ｚ
麾	广林毛Ｈ
酿	酉丶艮Ｎ
詹	厂言Ｚ
沁	氵心ＱＮ
眈	目<巾变>乚Ｄ
畔	田半ＰＮ
懊	忄<向框>大Ａ
熔	火宀<谷下>Ｒ
筷	忄夬Ｋ
霖	<雨头>林ＬＮ
综	纟宀示Ｚ
傍	亻<旁上>方Ｂ
瑕	王<右框>又Ｘ
刁	一ＤＯ
嚓	口宀示Ｃ
惚	忄勹心Ｈ
践	一戈Ｊ
兢	古儿儿Ｊ
尿	尸水ＮＯ
秉	禾<秉中>ＢＧ
伞	人丷十Ｓ
崆	山穴工Ｋ
棉	木白巾Ｍ
媳	女自心Ｘ
坟	土文ＦＮ
鹅	手戈鸟Ｅ
瀑	氵日氺Ｐ
鲸	鱼<享上>小Ｊ
逮	彐水辶Ｄ
糖	米广口Ｔ
缉	纟口耳Ｊ
稻	禾爫臼Ｄ
暧	日<爱上>又Ａ
奎	大圭ＫＩ
绸	纟<周框>土Ｃ
隋	阝冃Ｓ
狩	犭宀寸Ｓ
湃	氵一丰Ｐ
叽	口几ＪＩ
饼	饣丷开Ｂ
靡	广林非Ｍ
锥	钅隹ＺＩ
碟	石世木Ｄ
拙	扌凵山Ｚ
簇	<旗角>矢Ｃ
蝇	虫口乚Ｙ
蚕	一大虫Ｃ
叩	口卩ＫＵ
咸	戊一口Ｘ
亢	亠几ＫＧ
澄	氵癶<首上>Ｃ
骏	马厶夂Ｊ
辖	<车旁>宀口Ｘ
媛	女爫又Ｙ
姻	女囗大Ｙ
扒	扌八ＢＡ
赠	贝丷日Ｚ
秩	禾失ＺＩ
朔	丷<屮变>月Ｓ
倔	亻尸山Ｊ
嚼	口爫寸Ｊ
卵	<卯左><冬下>卩Ｌ
胶	月亠父Ｊ
绚	纟勹日Ｘ
镔	钅穴丘Ｂ
蚊	虫文ＷＮ
唧	口<即左>卩Ｊ
炯	火冂口Ｊ
罐	缶艹隹Ｇ
浊	氵虫ＺＯ
冶	冫厶口Ｙ
讳	讠二<韦下>Ｈ
杭	木亠几Ｈ
弊	丷攵廾Ｂ
戳	羽隹戈Ｃ
禄	礻<录上>水Ｌ
斋	文丆<而下>Ｚ
搐	扌玄田Ｃ
炙	<然角>火ＺＩ
佬	亻耂匕Ｌ
聋	龙耳ＬＧ
厄	厂ＥＥ
凳	癶一几Ｄ
鲨	氵少鱼Ｓ
驴	马户ＬＵ
盲	亡目ＭＧ
锢	钅囗古Ｇ
锡	钅日勹Ｘ
诏	讠刀口Ｚ
伽	亻加ＪＡ
铮	钅亅Ｚ
缭	纟大小Ｌ
鸭	甲鸟ＹＡ
捶	扌千<垂下>Ｃ
唰	口尸刂Ｓ
搔	扌又虫Ｓ
滥	氵<半竹>皿Ｌ
恙	心ＹＧ
谜	讠米辶Ｍ
啃	口止冃Ｋ
啼	口<旁上>巾Ｔ
驯	马川ＸＮ
匣	匚甲ＸＡ
悯	忄门文Ｍ
鸾	<变上>鸟ＬＮ
杉	木彡ＳＮ
煜	火日立Ｙ
